
No.	单词	解释
71	acquiesce	vi. 默认,默许; n. 默认,默许; adj. 默认的时 态: acquiesced, acquiescing, acquiesces
72	acrimonious	adj. 尖酸刻薄的，讥讽的，激烈的副 词: acrimoniously 名 词: acrimoniousness
73	acrimony	n. 辛辣；尖刻；严厉
74	acumen	n. 聪明，敏锐
75	acuity	n. 尖锐；敏锐；剧烈
76	acute	adj. 严重的，急性的；激烈的；敏锐的；尖声的
77	early	1. adj. 早期的；早熟的<br>2. adv. 提早；在初期
78	adamant	1. adj. 坚定不移的；坚硬无比的；固执的，坚强的<br>2. n. 坚硬的东西；坚石
79	tame	1. adj. 驯服的；乏味的；顺从的；平淡的<br>2. vt. 驯养；使变得平淡；制服
80	addict	1. n. 有瘾的人；入迷的人<br>2. vt. 使沉溺；使上瘾
81	diction	n. 用语；措词
82	adhere	1. vi. 坚持；粘着；依附；追随<br>2. vt. 使粘附
83	adherent	1. n. 信徒；追随者<br>2. adj. 附着的；粘着的
84	hesitation	n. 犹豫, 踌躇, 不愿; 犹豫
85	adjourn	1. vi. 休会；延期；换地方<br>2. vt. 推迟；使…中止；使…延期
86	diurnal	1. adj. 白天的；每日的，一日间的<br>2. n. [经]日记账；日报，日刊
87	convene	1. vt. 召集，集合；传唤<br>2. vi. 聚集，集合
88	venue	n. 审判地；犯罪地点；发生地点；集合地点
89	unwarranted	adj. 没有根据的, 无正当理由的; 无保证的; 未经授权的
90	stated	1. adj. 定期的；规定的；阐明的<br>2. v. 陈述；阐明；规定（state的过去分词）
91	adjudicate	vt. 判决,宣判; 当…的评判员; vt.&vi. 判决,宣判; n. 判决,宣判; n. 裁判员时 态: adjudicated, adjudicating, adjudicates...
92	adjudge	vt. 宣判；判决；认为
93	judge	1. vt. 判断；审判<br>2. n. 法官；裁判员
94	adjunct	1. n. 修饰语；附属物；助手<br>2. adj. 附属的
95	adjoin	1. vi. 毗连，邻接<br>2. vt. 毗连，邻接
96	jugular	1. adj. 颈部的；咽喉的；颈静脉的<br>2. n. 颈静脉
97	admonish	vt. 劝告；告诫
98	adore	1. vt. 爱慕；崇拜；喜爱；[口]极喜欢<br>2. vi. 爱慕；崇拜
99	worship	1. n. 礼拜；尊敬；崇拜<br>2. vt. 崇拜；尊敬；爱慕
100	adulate	vt. 过分称赞；谄媚；奉承
101	adulation	n. 谄媚；奉承
102	wheedle	1. vt. 以甜言蜜语诱惑；用甜言蜜语欺骗<br>2. vi. 用甜言蜜语哄骗
103	ulos	n. 瘢痕形成
104	adulterate	vt. 掺假; 奸污，诱奸; adj. 掺杂的，掺假的；不纯的; 通奸的，犯通奸罪的; n. 掺假时 态: adulterated, adulterating, adulterates ...
105	adulteration	n. 掺杂,掺假货
106	adumbrate	vt. 约略显示,勾画出…的轮廓; n. 预示,预兆; 遮蔽, 遮暗, 给...投下阴影; n. 预示,预兆时 态: adumbrated, adumbrating, adumbrate...
107	adumbration	n. 预兆
108	umbrage	n. 树荫；不快，生气；怀疑
109	adversary	n. 对手, 敌手
110	adverse	adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
111	versus	prep. 对；与...相对；对抗
112	adversity	n. 逆境;厄运;窘境; 不灾祸;灾难;幸
113	advert	1. vi. 注意；谈到<br>2. n. 广告
114	advertise	vt. 公布, 宣传; vt. & vi. 做广告宣传时 态: advertised, advertising, advertises 名 词: advertiser
115	affinity	n. 吸引力；姻亲关系；密切关系；类同
116	agape	1. adj. 张开著；张口惊视的<br>2. adv. 目瞪口呆
117	gape	1. vi. 裂开，张开；打呵欠<br>2. n. 裂口，张嘴；呵欠
118	agog	1. adj. 兴奋的；有强烈兴趣的<br>2. adv. 热切地；渴望地
119	gogue	abbr. Ground Objects Identifcation 地面目标识别
120	jest	1. n. 玩笑；笑话，俏皮话<br>2. vi. 开玩笑；嘲笑
121	gest	n. 故事诗；故事；武功；诗体小说
122	allay	vt. 减轻；使缓和；使平静
123	alleviate	vt. 减轻, 缓解, 缓和时 态: alleviated, alleviating, alleviates 名 词: alleviation 名 词: allevia...
124	lever	1. n. 杠杆；控制杆<br>2. vt. 用杠杆撬动；把…作为杠杆
125	alloy	1. vt. 使减低成色；使成合金<br>2. n. 合金
126	ligament	n. 韧带；纽带，系带
127	allude	vi. 暗指，转弯抹角地说到；略为提及，顺便提到
128	ludicrous	adj. 荒唐可笑的,滑稽可笑的副 词: ludicrously 名 词: ludicrousness
129	allure	1. vt. 吸引；引诱，诱惑<br>2. n. 诱惑力
130	lure	1. n. 诱惑物；诱惑；饵<br>2. vt. 引诱；诱惑
131	hawks	n. 霍克斯（人名）；亚特兰大老鹰队（NBA球队名）
132	bait	1. vt. 引诱；在…中放诱饵；折磨<br>2. n. 饵；诱饵
133	aloof	1. adj. 冷淡的；远离的；冷漠的<br>2. adv. 远离；避开地
134	a-	pref. 表示"向着、至"之义
135	gage	1. vt. 以…为担保；以…为赌注<br>2. n. 挑战；抵押品；计量器
136	pledge	1. n. 抵押；保证，誓言；抵押品，典当物<br>2. vt. 保证，许诺；用……抵押；举杯祝……健康
137	nautical	adj. 航海的，海上的；船员的
138	quarter	1. n. 四分之一；地区；季度；一刻钟；两角五分；[篮球]节<br>2. vi. 住宿；驻扎
139	lee	1. n. 保护；背风处<br>2. adj. 庇荫的；避风的；保护的
140	amalgamate	vt. & vi. 汞齐化; 合并, 联合, 结合时 态: amalgamated, amalgamating, amalgamates 形容词: amalgamative ...
141	amalgam	n. [采矿]汞合金，汞齐；混合物
142	mercury	n. 水银；水银柱；精神
143	poultice	1. n. 膏状药；湿敷药物<br>2. vt. 敷糊药于
144	pulse	1. n. 脉搏；脉冲<br>2. vt. 使跳动
145	ambiguous	adj. 引起歧义的; 模棱两可的, 含糊不清的
146	ambl	1. vi. （马）缓行；从容漫步<br>2. n. （马的）缓行步态；漫步
147	amble	1. vi. （马）缓行；从容漫步<br>2. n. （马的）缓行步态；漫步
148	ambi-	pref. 周围,气氛
149	ante	1. vt. 下赌注；付款<br>2. vi. 下赌注；付款
150	ameliorate	vt. 改善,改进时 态: ameliorated, ameliorating, ameliorates
151	amelioration	n. 改进，改善
152	multi-	comb. 多；多数
153	amenability	n. 服从的义务
154	amenable	adj. 有责任的，应服从的；有义务的；经得起检验的
155	menace	1. n. 威胁；恐吓<br>2. vi. 恐吓；进行威胁
156	commence	1. vt. 开始；着手<br>2. vi. 使……开始；使……得学位
157	initial	1. adj. 最初的；字首的<br>2. vt. 用姓名的首字母签名
158	ancilla	n. 附属品；女仆；助手，随从
159	ancillary	辅助的; 助手
160	cycle	1. n. 循环；周期；整套；自行车；一段时间<br>2. vt. 使循环；使轮转
161	annex	1. vt. 附加；并吞；获得<br>2. n. 附加物；附属建筑物
162	aphorism	n. 格言；警句
163	pithy	adj. 有髓的，多髓的；精练的；简洁有力的
164	apocryphal	adj. 真实性可疑的; 伪造的,杜撰的; 作者不明的; 次经的；新约外传的副 词: apocryphally
165	Apocrypha	n. 伪经
166	secret	1. n. 秘密；秘诀；机密<br>2. adj. 秘密的；机密的
167	appall	vt. 使胆寒；使惊骇
168	pallor	n. 青白；灰白；苍白（尤指脸色）
169	apparition	n. 特异景象; 幽灵;鬼; 出现; 初现形容词: apparitional
170	apparitor	n. 执行官,布告者,宫廷使者
171	appeal	1. vi. 呼吁，恳求；有吸引力，迎合爱好；诉诸，求助；上诉；（体育比赛中）诉诸裁判<br>2. n. 上诉；吸引力，感染力；呼吁，请求；诉诸裁判
172	apprise	vt. 通知；报告
173	apprehend	vt. 逮捕, 拘押; 理解时 态: apprehended, apprehending, apprehends
174	prehensile	adj. 适于抓住的名 词: prehensility
175	apropos	1. adj. 适当的；恰好的<br>2. adv. 适当地；恰好地；恰当地
176	aproposity	n. 适当,巧合
177	propound	vt. 提出；提议；将…提供考虑
178	arable	1. adj. 适于耕种的；可开垦的<br>2. n. 耕地
179	plow	1. vi. 犁；耕地；破浪前进；开路<br>2. vt. 犁；耕；开路
180	pasture	1. n. 牧场；牧草；草地<br>2. vt. 放牧；吃草
181	administer	vt. 管理, 支配; 给予; 执行, 实施时 态: administered, administering, administers 形容词: administrable ...
182	minister	1. n. 部长；大臣；牧师<br>2. vi. 执行牧师职务；辅助或伺候某人
183	valet	1. n. 贴身男仆；用车的人；伺候客人停车<br>2. vt. 为...管理衣物；替...洗熨衣服
184	vassal	1. n. 诸侯；封臣<br>2. adj. 臣属的
185	varlet	n. 恶棍；无赖
186	priest's	催乳素释放抑制因子
187	anecdote	n. 奇闻；轶事；秘史
188	monopoly	n. 垄断；垄断者；专卖权
189	bare	1. adj. 空的；赤裸的，无遮蔽的<br>2. vt. 露出，使赤裸
190	fervent	adj. 强烈的；炽热的；热烈的；热心的
191	avid	adj. 渴望的，贪婪的；热心的
192	avidity	n. 热望，贪欲；[化]活动性
193	churlish	adj. 没有礼貌的；脾气暴躁的
194	churl	n. 吝啬鬼；乡下人；粗暴的人；（中世纪的）农民
195	boor	n. 农民；粗野的人；不懂礼貌的人
196	church	1. n. 教堂；礼拜；教派<br>2. adj. 教会的；礼拜的
197	Charlemagne	n. 查理曼大帝
198	adornment	n. 装饰,装饰品
199	air-brush	n. 炸弹在空中的爆炸
200	beaming	1. adj. 喜气洋洋的；愉快的；光亮的；耀眼的<br>2. v. 照耀（beam的ing形式）
201	beam	1. n. 横梁；船宽；电波；光线；秤杆<br>2. vt. 以梁支撑；用…照射；流露；发送
202	deplorable	adj. 可叹的；凄惨的
203	deplore	vt. 悲悼；哀叹；谴责；对…深感遗憾
204	plorare	n. 流泪
205	lets	n. 列托人；列托语
206	coup	1. n. 政变；妙计；出乎意料的行动；砰然的一击<br>2. vt. 使…颠倒；使…倾斜
207	coup d'etat	n. 小轿车；双座四轮轿式马车
208	decisive	adj. 决定性的；果断的，坚定的
209	console	1. n. 操纵台；控制台<br>2. vt. 慰藉；安慰
210	valedictory	adj. 告别的, 告辞的
211	valediction	n. 告别;告辞;告别辞
212	valiant	1. adj. 英勇的，勇敢的<br>2. n. 勇敢的人；勇士
213	pantomime	n. 童话剧; 面部和身体的表意动作时 态: pantomimed, pantomiming, pantomimes 形容词: pantomimic 名 词: pant...
214	villains	n. 恶棍；反派角色（villain的复数）
215	bargain	1. n. 交易；契约；特价商品<br>2. vi. 讨价还价；成交
216	haggle	1. n. 讨价还价；争论<br>2. vt. 乱劈；乱砍
217	barren	1. adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的<br>2. n. 荒地
218	Elevated	1. adj. 提高的；高尚的；严肃的；欢欣的<br>2. v. 抬起；提高；振奋；提拔（elevate的过去分词）
219	barter	1. vi. 进行易货贸易；作物物交换；讨价还价<br>2. vt. 以…作为交换；拿…进行易货贸易
220	Celtic	1. adj. 凯尔特人的；凯尔特语的<br>2. n. 凯尔特语（等于Keltic）
221	bask	1. vi. 晒太阳；取暖；愉快或舒适<br>2. vt. [古]使…晒太阳；使暖和而舒适
222	wallow	1. vi. 打滚；颠簸；沉迷<br>2. n. 打滚；堕落；泥坑
223	blood	1. n. 血，血液；血统<br>2. vt. 从…抽血；使先取得经验
224	behoof	n. 利益，好处
225	behoove	1. vt. 理应；对…有此必要<br>2. vi. 有必要；理所当然
226	behove	1. vi. 理所当然<br>2. vt. 应该；理应（等于behoove）
227	AM	1. abbr. 调幅<br>2. v. 是
228	heave	1. vt. 举起；使起伏；[口]投掷；恶心；发出（叹息等）<br>2. vi. 起伏；喘息；呕吐；举起
229	belabor	vt. 痛打；抨击；过度说明；反复讨论
230	assail	vt. 攻击；质问；着手解决
231	beleaguer	vt. 围攻; 困扰; 骚扰时 态: beleaguered, beleaguering, beleaguers 名 词: beleaguerment
232	beleague	v. 围攻
233	beleaguered	adj. 饱受批评的; 处于困境的; 受到围困的
234	league	1. n. 联盟；社团；范畴<br>2. vt. 使…结盟；与…联合
235	belligerence	n. 交战,好战,斗争性
236	belligerent	adj. 交战的;卷入冲突的; 好战的,挑起战争的; adj. 交战的一方副 词: belligerently
237	bellicose	adj. 好战的;好争吵的;好斗的副 词: bellicosely 名 词: bellicosity
238	benign	adj. 良性的；吉利的；和蔼的，亲切的
239	genus	n. 类，种；属
240	berate	vt. 严责；申斥
241	scold	1. vi. 责骂；叱责<br>2. vt. 责骂；骂
242	skald	n. 古代斯堪的那维亚的吟唱诗人
243	beseech	vt. 恳求，哀求；乞求，急切地要求得到
244	be-	pref. 加于名词,形容词等之前,形成动词而表不同意义
245	bogus	1. adj. 伪造的；假的<br>2. n. 伪币
246	bogey	n. 妖怪；可怕的人
247	boisterous	adj. 热闹的；喧闹的;爱闹的;狂欢的; 凶猛的,粗鲁的; 粗糙的;巨大的副 词: boisterously 名 词: boisterousness
248	coarse	adj. 粗糙的；下等的；粗俗的
249	course	1. n. 进程；过程；道路；一道菜<br>2. vt. 跑过；追赶
250	bustous	n. [俚]争执
251	bolster	1. n. 长枕；支持<br>2. vt. 支持；支撑
252	bombast	1. n. 夸大的言辞<br>2. adj. 夸大的
253	bonhomie	n. 温和，和蔼；敦厚
254	homunculus	n. 矮人,侏儒
255	boon	1. n. 恩惠；利益；福利<br>2. adj. 愉快的；慷慨的
256	ban	vt. 取缔, 查封, 禁止; n. 禁止, 禁令时 态: banned, banning, bans
257	edict	n. 法令；布告
258	proclamation	n. 宣布,声明,公告
259	fame	1. n. 名声，名望；[古]传闻，传说<br>2. vt. 使闻名，使有名望
260	banal	adj. 陈腐的；平庸的；老一套的
261	boniz	vt. 发出巨响；性交时 态: bonked, bonking, bonks
262	petition	1. n. 请愿；祈求；请愿书；[律]诉状<br>2. vi. 请愿；请求
263	yeoman	n. 自耕农；自由民；仆人
264	besmirch	vt. 弄污；损害；诽谤
265	smirch	1. vt. 弄脏<br>2. n. 污点
266	Sense	1. n. 感觉，官能；观念；理智；道理<br>2. vt. 检测；感觉到
267	mordant	1. adj. 有腐蚀性的；尖酸的；辛辣的<br>2. n. 媒染剂；金属腐蚀剂；金属箔粘着剂
268	smart	1. n. 痛苦；刺痛<br>2. adj. 聪明的；漂亮的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的
269	mordancy	n. 尖酸；刻薄；辛辣
270	torture	1. vt. 折磨；拷问；歪曲<br>2. n. 拷问；折磨；歪曲
271	smear	1. vt. 弄脏；涂上；诽谤；把…擦模糊<br>2. n. 涂片；污点；诽谤
272	marrow	n. 髓，骨髓；精华；活力
273	mer	abbr. 最低能量要求（Minimum Energy Requirements）；最大有效生产率（Maximum Efficient Rate of Production）；测量工程报告（Measurement Engineering Report）
274	mer-	abbr. Micro Electronic Radar Array 微电子雷达相控阵
275	bifurcate	vi. 分岔, 分成两支; vt. 使分枝;使分叉; adj. 分叉的时 态: bifurcated, bifurcating, bifurcates 副 词: bifurca...
276	bigot	n. 偏执的人；顽固者；盲信者
277	beguine	n. 比津舞（西印度群岛的马提尼克岛和圣卢西亚岛上的一种土风舞，略似伦巴）
278	bland	1. adj. 乏味的；冷漠的；温和的<br>2. vt. 使…变得淡而无味；除掉…的特性
279	flattering	adj. 谄媚的, 讨好的
280	blandishment	n. 奉承, 讨好
281	blandish	1. vt. 奉承；谄媚；讨好<br>2. vi. 谄媚；讨好；奉承
282	blatant	adj. 炫耀的；喧嚣的；俗丽的；公然的
283	tongued	1. adj. 有…舌头的；说话…的<br>2. v. 用舌头；吹奏管乐器（tongue的过去分词）
284	slander	1. vt. 诽谤；造谣中伤<br>2. n. 诽谤；中伤
285	in	1. prep. 在…之内；从事于；按照（表示方式）<br>2. adv. 进入；在屋里；（服装等）时髦；当选
286	blemish	1. n. 缺点；瑕疵；污点<br>2. vt. 玷污；弄脏；损害
287	bleach	1. vt. 使漂白，使变白<br>2. vi. 变白，漂白
288	bliss	1. n. 极乐；天赐的福<br>2. vt. 使欣喜若狂
289	blithe	adj. 愉快的；快乐无忧的
290	bracing	1. n. 支撑；支柱；背带<br>2. adj. 令人振奋的；凉爽的
291	brace	1. n. 支柱；大括号；曲柄<br>2. vt. 支撑；激励；振作起来；撑牢
292	brachio-	pref. 表示“臂”之义
293	seize	1. vt. 抓住；夺取；逮捕；理解<br>2. vi. 抓住；利用；（机器）卡住
294	bribe	1. vt. 贿赂，收买<br>2. vi. 行贿
295	brisk	1. adj. 敏锐的，活泼的，轻快的；凛冽的<br>2. vi. 活跃起来；变得轻快
296	brusque	adj. 唐突的；直率的；无礼的
297	brittle	adj. 易碎的，脆弱的；易生气的
298	bruise	1. n. 擦伤；挫伤；青肿<br>2. vt. 使受瘀伤；使受挫伤
299	bromide	n. 溴化物；庸俗的人；陈词滥调
300	bromine	n. [化]溴
301	stench	1. n. 恶臭；臭气<br>2. vt. 使…散发恶臭
302	stink	1. n. 臭味；讨厌的人<br>2. vi. 发出臭味；招人讨厌
303	nonmetallic	adj. 非金属的; n. 非金属物质
304	muride	n. 穆里尔（女子名）
305	brominate	vt. 用溴处理,使溴化时 态: brominated, brominating, brominates 名 词: bromination
306	brook	1. vt. 忍受；容忍<br>2. n. 小溪；小河
307	brow	n. 眉，眉毛；表情；额
308	bruit	1. vt. 散播<br>2. n. 谣传
309	bulge	1. n. 胀；膨胀；凸出部分<br>2. vt. 使膨胀；使凸起
310	budget	1. n. 预算，预算费<br>2. vt. 安排，预定；把…编入预算
311	directly	1. adv. 直接地；立即；马上；坦率地；正好地<br>2. conj. 一…就
312	Bilge	1. n. 舱底；舱底污水；无聊的话<br>2. vi. 船底穿洞；搁浅
313	bully	1. n. 欺凌弱小者；土霸<br>2. adj. [口]第一流的；特好的
314	bumble	1. vi. 犯错误；踉跄；结结巴巴地说话<br>2. vt. 弄糟；搞坏
315	blunder	1. vi. 跌跌撞撞地走；犯大错<br>2. vt. 做错
316	flounder	1. vi. 挣扎，折腾；错乱地做事或说话<br>2. n. 比目鱼；挣扎，辗转
317	founder	1. vi. 沉没；失败；倒塌；变跛<br>2. vt. 破坏；使摔倒；垮掉
318	fund	1. n. 资金；基金；存款<br>2. vt. 投资；资助
319	bumptious	adj. 盲目自夸的,盲目自大的,傲慢的副 词: bumptiously 名 词: bumptiousness
320	bungle	1. vt. 笨手笨脚地做；把…搞糟<br>2. vi. 把工作搞糟
321	buoy	1. n. 浮标；浮筒；救生圈；航标<br>2. vt. 使浮起；支撑；鼓励
322	beacon	1. n. 灯塔，信号浮标；烽火；指路明灯<br>2. vt. 照亮，指引
323	bugle	1. n. 喇叭；军号；[植]筋骨草属植物<br>2. vt. 吹号集合
324	blunt	1. adj. 钝的，不锋利的；生硬的；直率的<br>2. vt. 使迟钝
325	blur	1. vt. 涂污；使…模糊不清；使暗淡；玷污<br>2. vi. 沾上污迹；变模糊
326	on	1. adv. 向前地；继续着；作用中，行动中<br>2. prep. 在……之上；在……时候；关于；向，朝……
327	blear	1. adj. 朦胧的；模糊的<br>2. vt. 使模糊不清
328	boggle	1. vi. 犹豫，退缩；惊恐<br>2. vt. 搞糟，弄坏；使……惊奇；使……困惑
329	hesitate	1. vi. 踌躇，犹豫；不愿<br>2. vt. 踌躇，犹豫；有疑虑，不愿意
330	arcane	adj. 晦涩难解的；神秘的；秘传的
331	arduous	adj. 费力的；努力的；险峻的
332	ortho-	pref. 表示“直,正直”之义
333	arid	adj. 干旱的；不毛的，荒芜的
334	ash	n. 灰；灰烬
335	ascetic	1. adj. 苦行的；禁欲主义的<br>2. n. 禁欲者；苦行者
336	asketikos	1. adj. 歪斜的<br>2. adv. 歪斜地，斜地
337	aseptic	1. adj. 无菌的；防腐性的<br>2. n. 防腐剂
338	septic	1. adj. 腐败的；脓毒性的；败血症的<br>2. n. 腐烂物
339	sepsis	n. [医]败血症，脓毒病；腐败作用
340	burgeon	1. vi. 萌芽<br>2. vt. 发芽
341	burjoin	伯克, 马莎·简 美国女拓荒者和西部的传奇人物。她经常身着男装, 被认为是一位神枪手和技艺高超的骑手)
342	burg	n. 镇；城；村
343	borough	n. 区；自治的市镇
344	barrow	n. 搬运架，手推车；弃矿；古坟
345	burlesque	1. n. 作戏；滑稽戏<br>2. adj. 滑稽的；可笑的
346	flock	1. n. 群；棉束（等于floc）<br>2. vt. 用棉束填满
347	wool	n. 羊毛；毛线；绒线；毛织品；毛料衣物
348	burnish	1. vt. 擦亮；使…光亮；将…打磨光亮<br>2. n. 光泽；抛光；闪闪发光
349	might	1. n. 力量；势力；威力<br>2. v. 可以；应该；或许（may的过去式）
350	brown	1. adj. 棕色的，褐色的；太阳晒黑的<br>2. vi. 变成褐色
351	bustle	1. vi. 喧闹；忙乱；充满<br>2. vt. 使忙碌；催促
352	buttress	1. n. 扶壁；拱壁；支撑物<br>2. vt. 以扶壁支撑；支持
353	barrel	1. vt. 把……装入桶内<br>2. n. 桶；枪管，炮管
354	cacothes	n. 〈拉〉恶习，恶癖；…狂
355	cacophony	n. 刺耳的声音,不和谐的声音
356	caco-	pref. 表示“恶,不好”之义
357	calligraphy	n. 美术字; 书法；笔迹名 词: calligrapher or 形容词: calligraphic
358	caca	abbr. Cement and Concrete Association 〈英〉水泥和混凝土协会
359	defecate	1. vt. 澄清；除去污物<br>2. vi. 澄清；排便
360	cadge	1. vi. 骗得白食；行乞；乞讨；贩卖<br>2. vt. 乞讨；行乞；贩卖
361	cajole	vt. 以甜言蜜语哄骗；勾引
362	chatter	1. vi. 唠叨；喋喋不休；（动物等）吱吱叫<br>2. vt. 喋喋不休地说；使卡嗒卡嗒作声
363	calamity	n. 不幸事件；灾难
364	preserved	豆豉
365	shawm	n. 木笛的前身；中世纪的双簧管
366	reed	1. n. 芦苇；簧片；牧笛；不可依靠的人<br>2. vt. 用芦苇盖；用芦苇装饰
367	humiliate	vt. 使蒙羞, 羞辱, 使丢脸时 态: humiliated, humiliating, humiliates
368	calibrate	vt. 校准; 使标准化,使合标准; 测量口径时 态: calibrated, calibrating, calibrates 名 词: calibrator
369	caliber	n. 口径；才干；器量；水准（等于calibre）
370	calibre	n. 口径；才干；水准
371	mold	1. vt. 用模子制作；塑造；使发霉<br>2. vi. 发霉
372	callus	1. n. 愈合组织；老茧；胼胝<br>2. vt. 使生老茧；使变硬；使结痂
373	callous	1. adj. 起老茧的；无情的；硬结的；麻木的<br>2. vt. 使硬结；使生茧；使冷酷无情
374	callow	adj. 年轻而无经验的；羽毛未丰的
375	bald	1. adj. 秃顶的；单调的；光秃的；无装饰的<br>2. vi. 变秃
376	calumniate	vt. 诽谤,中伤时 态: calumniated, calumniating, calumniates 名 词: calumniation 名 词: calumnia...
377	calumny	n. 诽谤；中伤；诬蔑
378	bewitch	vt. 施魔法于，蛊惑；使着迷
379	seduce	vt. 引诱；诱惑；诱奸；怂恿
380	confuse	vt. 使混乱；使困惑
381	comrade	n. 同志；伙伴
382	camera	n. 照相机；摄影机
383	chamber	1. n. （身体或器官内的）室，膛；房间；会所<br>2. adj. 室内的；私人的，秘密的
384	cameo	n. 刻有浮雕的宝石或贝壳；（影视剧中的）配角；小品文
385	camouflage	n. 伪装；隐藏；掩藏; 伪装物;掩饰手段;保护色; vt. & vi. 隐蔽；隐藏；掩藏；掩盖时 态: camouflaged, camouflaging, camouflages ...
386	camouflet	n. 地下爆炸
387	flinch	1. vi. 退缩；畏惧<br>2. n. 退缩；畏惧
388	plumpy	adj. 丰满的
389	pliable	adj. 柔软的；易曲折的；柔韧的；圆滑的
